,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Tilaustulot yhteensä,553,556,546,529,516,503,489,482,476,478,478,478,475,466,463,462
Mainostulot yhteensä,627,648,612,529,504,482,464,455,425,397,317,343,333,309,278,270
