,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Painettu %,97.8,96.7,96.1,94.7,93.1,91.5,90.1,87.8,85.8,83.7,80.1,77.3,75.1,73.2,68.6,65.4
Sähköinen %,2.2,3.3,3.9,5.3,6.9,8.5,9.9,12.2,14.2,16.3,19.9,22.7,24.9,26.8,31.4,34.6
