,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Tilaustulot %,46.9,46.1,47.2,50.0,50.6,51.1,51.3,51.5,52.8,54.6,60.1,58.2,58.8,60.1,62.5,63.1
Mainostulot %,53.1,53.9,52.8,50.0,49.4,48.9,48.7,48.5,47.2,45.4,39.9,41.8,41.2,39.9,37.5,36.9
